Method,Solutions,Min_cost,Max_cost,Min_carbon,Max_carbon,Min_time,Max_time,IGD_vs_grid_reference
NSGA-II,8302,0.9839127155215087,1.1558103579165961,0.9740904805053744,0.989245606021824,0.9324081279205216,1.08250106402893,0.0030696028403353233
Grid,12,0.9840955274356582,1.1596927838907902,0.9741771364788983,0.9918777773714695,0.9372288827004118,1.0832043753055836,0.0
