Solution_ID,panel_scheme,truss_scheme,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_widths_mm,truss_spans_m,N_panel_classes,N_truss_types,RI_panel_norm,RI_truss_norm,opening_complexity_index,N_openings_reference,P_f_prefab_level,Weight_kg,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_fitness,Carbon_fitness,Time_fitness,Cost_vs_S2_%,Carbon_vs_S2_%,Time_vs_S2_%,NZ_feasible,Hard_violations,Soft_violations,Penalty_cost,Penalty_carbon,Penalty_time,Total_constraint_penalty,Max_panel_width_m,Panel_height_m,Stud_spacing_mm,Steel_thickness_mm,Panel_lift_mass_kg,Factory_repetition_score,Unique_truss_spans,Carbon_intensity_kgCO2e_m2,Cluster_ID,Archetype,CFS_framing_A1_A5_carbon_kgCO2e,CFS_framing_A1_A5_carbon_normalized,CFS_framing_A1_A5_carbon_vs_S2_%
P11,2,2,0.6885,0.6797,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.623,14.961,1.525,1.136,1.0,12,0.7092,2167.43,18040.53,5308.6,90.41,0.9839139069006961,0.9891573168909141,0.9625816571101703,0.9839139069006961,0.9891573168909141,0.9625816571101703,-1.61,-1.08,-3.74,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.009,1,Low Time,5308.6,0.9891573168909141,-1.08
P12,2,2,0.6885,0.6799,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.623,14.96,1.525,1.136,1.0,12,0.7094,2167.43,18040.53,5308.52,90.4,0.9839142501455395,0.9891411599533042,0.9625017454105517,0.9839142501455395,0.9891411599533042,0.9625017454105517,-1.61,-1.09,-3.75,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.008,1,Low Time,5308.52,0.9891411599533042,-1.09
P13,2,2,0.6907,0.6776,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.619,14.967,1.528,1.136,1.0,12,0.7096,2167.44,18040.53,5308.41,90.39,0.9839142646677215,0.9891218023989524,0.9623851403096433,0.9839142646677215,0.9891218023989524,0.9623851403096433,-1.61,-1.09,-3.76,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.007,1,Low Time,5308.41,0.9891218023989524,-1.09
P14,2,2,0.6907,0.6791,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.619,14.963,1.528,1.136,1.0,12,0.7096,2167.44,18040.54,5308.42,90.39,0.9839145486460708,0.9891238250738797,0.9623739901663976,0.9839145486460708,0.9891238250738797,0.9623739901663976,-1.61,-1.09,-3.76,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.007,1,Low Time,5308.42,0.9891238250738797,-1.09
P15,2,2,0.6897,0.6787,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.964,1.526,1.136,1.0,12,0.7101,2167.44,18040.55,5308.17,90.37,0.98391500810675,0.9890772145210436,0.9621813957837069,0.98391500810675,0.9890772145210436,0.9621813957837069,-1.61,-1.09,-3.78,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.004,1,Low Time,5308.17,0.9890772145210436,-1.09
P16,2,2,0.6898,0.6787,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.62,14.964,1.526,1.136,1.0,12,0.7101,2167.44,18040.55,5308.17,90.37,0.9839150086002147,0.9890772154938154,0.9621813088793253,0.9839150086002147,0.9890772154938154,0.9621813088793253,-1.61,-1.09,-3.78,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.004,1,Low Time,5308.17,0.9890772154938154,-1.09
P17,2,2,0.6897,0.6787,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.964,1.526,1.136,1.0,12,0.7101,2167.44,18040.55,5308.17,90.37,0.9839151177713054,0.9890772813202529,0.962181208027759,0.9839151177713054,0.9890772813202529,0.962181208027759,-1.61,-1.09,-3.78,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.004,1,Low Time,5308.17,0.9890772813202529,-1.09
P18,2,2,0.6907,0.6804,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.619,14.959,1.527,1.136,1.0,12,0.7101,2167.44,18040.57,5308.17,90.36,0.9839162934794796,0.9890774022409549,0.962134249630335,0.9839162934794796,0.9890774022409549,0.962134249630335,-1.61,-1.09,-3.79,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.004,1,Low Time,5308.17,0.9890774022409549,-1.09
P19,2,2,0.6895,0.6781,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.966,1.526,1.136,1.0,12,0.7107,2167.44,18040.59,5307.83,90.34,0.9839174568822094,0.9890140071857456,0.9618934042243832,0.9839174568822094,0.9890140071857456,0.9618934042243832,-1.61,-1.1,-3.81,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.001,1,Low Time,5307.83,0.9890140071857456,-1.1
P20,2,2,0.6895,0.6781,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.966,1.526,1.136,1.0,12,0.7107,2167.44,18040.59,5307.84,90.34,0.9839175511034532,0.9890142668994266,0.9618921749607101,0.9839175511034532,0.9890142668994266,0.9618921749607101,-1.61,-1.1,-3.81,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.001,1,Low Time,5307.84,0.9890142668994266,-1.1
P21,2,2,0.6895,0.6787,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.964,1.526,1.136,1.0,12,0.7108,2167.44,18040.6,5307.77,90.34,0.9839179743582227,0.9890026047989047,0.961830646004328,0.9839179743582227,0.9890026047989047,0.961830646004328,-1.61,-1.1,-3.82,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.0,1,Low Time,5307.77,0.9890026047989047,-1.1
P22,2,2,0.6895,0.6802,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.959,1.526,1.136,1.0,12,0.7109,2167.44,18040.62,5307.75,90.33,0.9839192507871282,0.9889984766227633,0.9617873894515407,0.9839192507871282,0.9889984766227633,0.9617873894515407,-1.61,-1.1,-3.82,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.0,1,Low Time,5307.75,0.9889984766227633,-1.1
P23,2,2,0.6891,0.6802,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.622,14.959,1.526,1.136,1.0,12,0.7109,2167.44,18040.62,5307.75,90.33,0.983919254312639,0.9889984221850497,0.9617967672185137,0.983919254312639,0.9889984221850497,0.9617967672185137,-1.61,-1.1,-3.82,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.0,1,Low Time,5307.75,0.9889984221850497,-1.1
P24,2,2,0.6891,0.6802,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.622,14.959,1.526,1.136,1.0,12,0.7109,2167.44,18040.62,5307.75,90.33,0.9839192644178574,0.9889984230992597,0.9617964545229856,0.9839192644178574,0.9889984230992597,0.9617964545229856,-1.61,-1.1,-3.82,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,54.0,1,Low Time,5307.75,0.9889984230992597,-1.1
P25,2,2,0.6891,0.6793,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.622,14.962,1.526,1.136,1.0,12,0.711,2167.44,18040.63,5307.69,90.33,0.9839195336289438,0.9889868349755491,0.9617564423731002,0.9839195336289438,0.9889868349755491,0.9617564423731002,-1.61,-1.1,-3.82,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.999,1,Low Time,5307.69,0.9889868349755491,-1.1
P26,2,2,0.6912,0.6793,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.618,14.962,1.528,1.136,1.0,12,0.711,2167.44,18040.64,5307.69,90.32,0.9839201503478887,0.9889876160879817,0.9617082463202383,0.9839201503478887,0.9889876160879817,0.9617082463202383,-1.61,-1.1,-3.83,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.999,1,Low Time,5307.69,0.9889876160879817,-1.1
P27,2,2,0.6909,0.6795,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.618,14.961,1.528,1.136,1.0,12,0.7112,2167.44,18040.64,5307.62,90.32,0.9839202653432754,0.9889735175537122,0.96164397655591,0.9839202653432754,0.9889735175537122,0.96164397655591,-1.61,-1.1,-3.84,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.998,1,Low Time,5307.62,0.9889735175537122,-1.1
