panel_scheme,truss_scheme,n_solutions,P_f_min,P_f_max,OC_min,OC_max,Cost_min_NZD,Cost_max_NZD,Carbon_min_kgCO2e,Carbon_max_kgCO2e,Time_min_hr,Time_max_hr
2,2,8298,0.708,0.9,0.8,1.0,18040.5,21192.33,5227.74,5309.08,87.58,101.67
3,2,4,0.782,0.785,0.8,0.801,18243.14,18253.14,5293.27,5294.35,87.57,87.58
