Seed,Evaluated_fitness_calls,Hard_feasible_evaluated,Archive_size,Final_nondominated_solutions,Final_hypervolume,HV_initial,HV_gain,Min_cost_norm,Min_carbon_norm,Min_time_norm,Cost_range_norm,Carbon_range_norm,Time_range_norm,Rp_min,Rp_max,Rt_min,Rt_max,OC_min,OC_max,Pf_min,Pf_max,IGD_vs_multiseed_reference
11,47711,47711,7392,7392,0.04233042514379994,0.042059770592454915,0.0002706545513450273,0.9839126011380771,0.9740903268704076,0.9323906379554056,0.1718935230452635,0.015123706146135896,0.15017938063920744,0.6704,0.7474,0.6616,0.7353,0.8,1.0,0.7087,0.9,5.064573761423595e-05
22,47643,47643,8502,8502,0.04233042514379994,0.041922221923550745,0.0004082032202491967,0.9839126003283841,0.9740917561944995,0.9324723761160649,0.17182643742560477,0.015158659080841574,0.15000058482924605,0.6806,0.744,0.653,0.7416,0.8,1.0,0.7083,0.9,4.3435660082538e-05
33,47637,47637,8397,8397,0.042330247432341414,0.0418673090828642,0.00046293834947721407,0.9839127470955423,0.9740903812844103,0.9323964423350022,0.1718978180370575,0.015129802566660189,0.1501440266931271,0.6806,0.7493,0.6634,0.7353,0.8,1.0,0.7086,0.9,4.289816622007703e-05
44,47582,47582,8494,8494,0.042330247432341414,0.04196967088297893,0.0003605765493624874,0.983912705931735,0.9740906081378349,0.9323962908827252,0.17188681990370003,0.015178769728858121,0.15010255999837385,0.6712,0.7494,0.6614,0.7352,0.8,1.0,0.7081,0.9,4.652555711806508e-05
55,47530,47530,8222,8222,0.04233006972088288,0.04186961933182512,0.00046045038905775937,0.9839130671615637,0.9740904626927617,0.9324055089166271,0.17189467702674444,0.015102686442504343,0.15014360547185535,0.6666,0.757,0.6599,0.7328,0.8,1.0,0.7089,0.9,4.707645322465704e-05
