Scenario,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized
full_grid,0.0,0.0,0,0,0.8,0.5,19469.383642962173,5607.671837269761,123.09372960000002,1.0618424941718458,1.0448829519740668,1.3106201811634663
full_grid,0.0,0.0,0,0,0.8,0.55,18989.92508181747,5530.975749538892,111.18581655925286,1.035693259878958,1.0305920952908216,1.1838326413151097
full_grid,0.0,0.0,0,0,0.8,0.6,18688.20147829262,5473.60169802942,102.84742431541939,1.019237528686196,1.0199015324248752,1.0950509853466235
full_grid,0.0,0.0,0,0,0.8,0.65,18522.88672666269,5430.729121563982,97.24889998841576,1.010221412335868,1.0119130435196915,1.0354416210715356
full_grid,0.0,0.0,0,0,0.8,0.7,18462.980603861164,5398.741940931082,93.76789061516429,1.0069541868284628,1.005952841015883,0.9983781479748316
full_grid,0.0,0.0,0,0,0.8,0.75,18472.313865997065,5370.56487063771,91.9375464806221,1.007463214465233,1.0007025800804188,0.9788898607241285
full_grid,0.0,0.0,0,0,0.8,0.8,18616.33538736424,5345.742124963252,91.7068332090156,1.0153180173838772,0.9960773337163131,0.9764333792216806
full_grid,0.0,0.0,0,0,0.8,0.8500000000000001,19619.851491519625,5326.761678022968,95.58034385935572,1.0700488739183702,0.992540688562269,1.0176759449216917
full_grid,0.0,0.0,0,0,0.8,0.9,21646.64649501405,5312.7458696334215,104.03414360000002,1.1805884318803663,0.9899291093419873,1.1076863831755903
full_grid,0.0,0.0,0,0,0.9,0.5,19405.069164601475,5596.833097354881,123.6240648,1.0583348409576379,1.0428633590152439,1.3162668377247715
full_grid,0.0,0.0,0,0,0.9,0.55,18925.259384267043,5520.156184078083,111.71615175925285,1.032166451489257,1.0285760751266904,1.1894792978764148
full_grid,0.0,0.0,0,0,0.9,0.6,18623.18456155246,5462.796450475838,103.3777595154194,1.0156915651210017,1.0178881801303348,1.1006976419079288
full_grid,0.0,0.0,0,0,0.9,0.65,18457.5185907328,5419.934534284232,97.77923518841575,1.0066562935951804,1.0099016775643508,1.0410882776328407
full_grid,0.0,0.0,0,0,0.9,0.7,18397.26124874155,5387.955255640583,94.2982258151643,1.0033699129122826,1.0039429474458912,1.0040248045361369
full_grid,0.0,0.0,0,0,0.9,0.75,18406.24876843235,5359.784003686321,92.4678816806221,1.0038600840702354,0.9986937706472171,0.9845365172854337
full_grid,0.0,0.0,0,0,0.9,0.8,18549.770432211375,5334.965498768784,92.23716840901561,1.0116876252101883,0.9940693144674765,0.9820800357829859
full_grid,0.0,0.0,0,0,0.9,0.8500000000000001,19551.169574140742,5315.988094623319,96.11067905935573,1.066303024548328,0.9905332362803527,1.0233226014829968
full_grid,0.0,0.0,0,0,0.9,0.9,21573.875536582476,5301.974415833394,104.5644788,1.1766195699265782,0.9879220538704416,1.1133330397368952
full_grid,0.0,0.0,0,0,1.0,0.5,19344.835875200002,5585.994357440001,124.15440000000001,1.0550497720811327,1.0408437660564211,1.3219134942860766
full_grid,0.0,0.0,0,0,1.0,0.55,18864.674875675842,5509.336618617277,112.24648695925286,1.0288622274372587,1.0265600549625595,1.1951259544377202
full_grid,0.0,0.0,0,0,1.0,0.6,18562.248833771537,5451.991202922259,103.9080947154194,1.0123681858935107,1.0158748278357947,1.106344298469234
full_grid,0.0,0.0,0,0,1.0,0.65,18396.231643762145,5409.139947004482,98.30957038841576,1.0033137591921961,1.00789031160901,1.046734934194146
full_grid,0.0,0.0,0,0,1.0,0.7,18335.623082581165,5377.168570350085,94.8285610151643,1.0000082233338055,1.0019330538758997,1.009671461097442
full_grid,0.0,0.0,0,0,1.0,0.75,18344.26120866378,5349.003136734929,92.99821688062211,1.0004793388818236,0.996684961214015,0.9901831738467389
full_grid,0.0,0.0,0,0,1.0,0.8,18487.27692958285,5324.1888725743165,92.76750360901562,1.0082792863578902,0.9920612952186401,0.9877266923442911
full_grid,0.0,0.0,0,0,1.0,0.8500000000000001,19486.553024014393,5305.214511223673,96.64101425935574,1.0627788966144813,0.9885257839984372,1.0289692580443022
full_grid,0.0,0.0,0,0,1.0,0.9,21505.163860131637,5291.202962033369,105.09481400000001,1.1728720975237903,0.9859149983988963,1.1189796962982004
full_grid,0.0,0.0,0,0,1.1,0.5,20229.40299684592,5628.566038126094,127.08471552,1.1032932591855866,1.0487761887581462,1.3531135454192134
full_grid,0.0,0.0,0,0,1.1,0.55,19750.40102064787,5551.84502360493,115.17680247925288,1.0771689266208402,1.0344806874418013,1.2263260055708571
full_grid,0.0,0.0,0,0,1.1,0.6,19449.134002069666,5494.452358816064,106.8384102354194,1.060738097156219,1.0237866563453872,1.137544349602371
full_grid,0.0,0.0,0,0,1.1,0.65,19284.275835386376,5451.565923994646,101.23988590841577,1.0517468825340313,1.015795585199244,1.077934985327283
full_grid,0.0,0.0,0,0,1.1,0.7,19224.8262975315,5419.56847077572,97.7588765351643,1.0485045587547677,1.0098334685944816,1.040871512230579
full_grid,0.0,0.0,0,0,1.1,0.75,19234.47618336247,5391.382923850738,95.92853240062212,1.049030854760185,1.0045816281999986,1.0213832249798758
full_grid,0.0,0.0,0,0,1.1,0.8,19378.92611712162,5366.553143874325,95.69781912901561,1.0569090229014357,0.9999550711275624,1.0189267434774278
full_grid,0.0,0.0,0,0,1.1,0.8500000000000001,20384.97286969821,5347.567219982823,99.57132977935574,1.1117778987014957,0.9964174054478665,1.060169309177439
full_grid,0.0,0.0,0,0,1.1,0.9,22416.86222408851,5333.547121795818,108.02512952000002,1.2225952979326693,0.9938050269054487,1.1501797474313373
full_grid,0.0,0.0,0,0,1.2000000000000002,0.5,21277.585124625,5678.895284435148,130.54781568,1.1604601600653492,1.0581540862136503,1.3899863331220117
