Scenario,Evaluated_designs,Pareto_designs,Cost_min,Cost_max,Carbon_min,Carbon_max,Time_min,Time_max,R_p_min,R_p_max,R_t_min,R_t_max,OC_min,OC_max,P_f_min,P_f_max
full_grid,1350,11,0.9855137226284542,1.1615084416828119,0.975162652447581,0.9911490943538669,0.9355637000879516,1.0819659116869436,0.75,0.75,0.75,0.75,0.8,1.0,0.7,0.9
prefab_only,21,10,1.0,1.1728720975237903,0.9859149983988963,1.0,0.9853333701085686,1.1189796962982004,0.0,0.0,0.0,0.0,1.0,1.0,0.72,0.9
rationalisation_only,121,2,0.9841265924499564,0.9865907542574027,0.9882085515508561,0.9899781795933517,0.9573508788738896,0.9574466977609163,0.7000000000000001,0.8,0.7000000000000001,0.7000000000000001,1.0,1.0,0.72,0.72
OC_fixed_full,225,5,0.9855137226284542,1.1577147576249291,0.975162652447581,0.9911490943538669,0.946857013210562,1.0819659116869436,0.75,0.75,0.75,0.75,1.0,1.0,0.7,0.9
OC_only,21,9,1.0,1.0069612876350518,1.0,1.0040188384294102,0.9887066868773896,1.0,0.0,0.0,0.0,0.0,0.8,1.0,0.72,0.72
