Sample_ID,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Weight_kg,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_vs_S2_%,Carbon_vs_S2_%,Time_vs_S2_%,NZ_feasible,Total_constraint_penalty,Factory_repetition_score,Carbon_intensity_kgCO2e_m2
1,0.8159967714983934,0.33569866694210326,3,1,1.1186671152794263,0.7617987179791545,2193.0202536152005,19250.200801804214,5354.225793056816,93.17541207101979,1.049888461162744,0.9976581038502316,0.9920698304075156,4.9888461162743925,-0.23418961497684299,-0.7930169592484382,True,0.0,0.7369665965057248,54.472650806340454
2,0.14297935376298596,0.6780022004609518,0,2,0.9819625136827808,0.7246380417268088,2181.771766111373,18205.8870046321,5333.961040990016,91.66313277765435,0.9929325355195532,0.9938821528718146,0.9759680860873048,-0.7067464480446817,-0.6117847128185416,-2.4031913912695213,True,0.0,0.7549825719540852,54.266481921112764
3,0.6340201996144211,0.1442232905750881,2,0,1.0082784926467603,0.7702202284375572,2174.1376777476,18229.5987955082,5298.243386640197,90.31689946753166,0.9942257550496054,0.9872268475690709,0.96163428898379,-0.577424495039458,-1.2773152430929136,-3.8365711016210002,True,0.0,0.7268889451179871,53.903098793800076
4,0.37385289850181475,0.2160030290585651,1,1,1.1462311481383298,0.6737276810603838,2204.1737551609403,19571.323937687685,5427.286259259126,99.02120991517774,1.0674022252240962,1.0112715316351284,1.0543119986678497,6.740222522409622,1.1271531635128396,5.431199866784975,True,0.0,0.7306668260908016,55.215951036291116
5,0.19515088243334847,0.2865374992446495,0,1,0.8819759804831029,0.7330786258159703,2190.040475852434,18311.892289484378,5349.683075954393,91.50466926179568,0.998713967439902,0.9968116549506337,0.9742808719413253,-0.12860325600979605,-0.318834504936627,-2.571912805867471,True,0.0,0.7343791666269114,54.42643425664747
6,0.08345149457670308,0.19371530495124042,0,0,1.1463797871466463,0.5542183670868537,2212.191647082051,20132.049172245075,5556.816172818602,115.12028300635893,1.0979836700467083,1.0354069665137262,1.2257242238063086,9.798367004670826,3.5406966513726212,22.57242238063086,True,0.0,0.7294937879798898,56.53375832029669
7,0.32802255737285463,0.8470409599420926,1,2,0.9066561855594468,0.7502007484856699,2185.943596642453,18291.384268877853,5332.178955936846,90.03247261519383,0.9975954786294342,0.993550095229167,0.9586059009907532,-0.2404521370565793,-0.6449904770832959,-4.139409900924685,True,0.0,0.7638793487688821,54.24835140130271
8,0.13046793705100554,0.005137832716893583,0,0,1.0960532032625503,0.5412158323152763,2205.615076308717,19744.425087617725,5553.853788962073,116.34766039930213,1.0768430046630575,1.03485498264614,1.2387925221373648,7.684300466305749,3.4854982646139954,23.87925221373648,True,0.0,0.7195686578622926,56.50361971434168
9,0.9319187378718938,0.49682774568427945,3,1,1.2776119868594953,0.6769045471157544,2237.7127509058832,21181.71838026262,5515.638613887991,102.50267344322538,1.1552316749315283,1.0277343118757452,1.0913803073028316,15.523167493152833,2.7734311875745155,9.138030730283164,True,0.014875630814736612,0.7454470743342603,56.11482739071329
10,0.5575587521911263,0.9471543076713048,2,2,1.02255067584023,0.6622461785890262,2192.3198200561656,18498.159587190326,5393.9561092499425,94.87658155208571,1.0088728166159124,1.005061092340184,1.0101827518431528,0.8872816615912438,0.5061092340183926,1.018275184315276,True,0.0,0.7691484723335774,54.87685782413566
