R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,N_panel_classes,N_truss_types,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_fitness,Carbon_fitness,Time_fitness,NZ_feasible,Hard_violations,Soft_violations,Penalty_cost,Penalty_carbon,Penalty_time,Total_constraint_penalty,Max_panel_width_m,Panel_height_m,Panel_lift_mass_kg,Factory_repetition_score,Carbon_intensity_kgCO2e_m2,CFS_framing_A1_A5_carbon_kgCO2e,CFS_framing_A1_A5_carbon_normalized
0.0,0.0,0,0,4.0,17.0,0.8,0.5,19469.383642962173,5607.671837269761,123.09372960000002,1.0618424941718458,1.0448829519740668,1.3106201811634663,1.0618424941718458,1.0448829519740668,1.3106201811634663,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.85643164444444,0.7192982456140351,57.0511520497066,5607.671837269761,1.0448829519740668
0.0,0.0,0,0,4.0,17.0,0.8,0.55,18989.92508181747,5530.975749538892,111.18581655925286,1.035693259878958,1.0305920952908216,1.1838326413151097,1.035693259878958,1.0305920952908216,1.1838326413151097,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.85643164444444,0.7192982456140351,56.270863849946,5530.975749538892,1.0305920952908216
0.0,0.0,0,0,4.0,17.0,0.8,0.6,18688.20147829262,5473.60169802942,102.84742431541939,1.019237528686196,1.0199015324248752,1.0950509853466235,1.019237528686196,1.0199015324248752,1.0950509853466235,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.85643164444444,0.7192982456140351,55.68715356315285,5473.60169802942,1.0199015324248752
0.0,0.0,0,0,4.0,17.0,0.8,0.65,18522.88672666269,5430.729121563982,97.24889998841576,1.010221412335868,1.0119130435196915,1.0354416210715356,1.010221412335868,1.0119130435196915,1.0354416210715356,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.85643164444444,0.7192982456140351,55.250977918487585,5430.729121563982,1.0119130435196915
0.0,0.0,0,0,4.0,17.0,0.8,0.7,18462.980603861164,5398.741940931082,93.76789061516429,1.0069541868284628,1.005952841015883,0.9983781479748316,1.0069541868284628,1.005952841015883,0.9983781479748316,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.85643164444444,0.7192982456140351,54.925547765139406,5398.741940931082,1.005952841015883
0.0,0.0,0,0,4.0,17.0,0.8,0.75,18472.313865997065,5370.56487063771,91.9375464806221,1.007463214465233,1.0007025800804188,0.9788898607241285,1.007463214465233,1.0007025800804188,0.9788898607241285,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.818014524444436,0.7192982456140351,54.638880790274996,5370.56487063771,1.0007025800804188
0.0,0.0,0,0,4.0,17.0,0.8,0.8,18616.33538736424,5345.742124963252,91.7068332090156,1.0153180173838772,0.9960773337163131,0.9764333792216806,1.0153180173838772,0.9960773337163131,0.9764333792216806,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.753985991111115,0.7192982456140351,54.38633993573487,5345.742124963252,0.9960773337163131
0.0,0.0,0,0,4.0,17.0,0.8,0.85,19619.85149151962,5326.761678022968,95.5803438593557,1.07004887391837,0.992540688562269,1.0176759449216912,1.07004887391837,0.992540688562269,1.0176759449216912,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.68995745777779,0.7192982456140351,54.193237272849956,5326.761678022968,0.992540688562269
0.0,0.0,0,0,4.0,17.0,0.8,0.9,21646.64649501405,5312.7458696334215,104.03414360000002,1.1805884318803663,0.9899291093419873,1.1076863831755903,1.1805884318803663,0.9899291093419873,1.1076863831755903,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.62592892444445,0.7192982456140351,54.05064369056914,5312.7458696334215,0.9899291093419873
0.0,0.0,0,0,4.0,17.0,0.9,0.5,19405.069164601475,5596.833097354881,123.6240648,1.0583348409576379,1.0428633590152439,1.3162668377247715,1.0583348409576379,1.0428633590152439,1.3162668377247715,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.771060266666666,0.7192982456140351,56.94088122486958,5596.833097354881,1.0428633590152439
