R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,N_panel_classes,N_truss_types,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_fitness,Carbon_fitness,Time_fitness,NZ_feasible,Hard_violations,Soft_violations,Penalty_cost,Penalty_carbon,Penalty_time,Total_constraint_penalty,Max_panel_width_m,Panel_height_m,Panel_lift_mass_kg,Factory_repetition_score,Carbon_intensity_kgCO2e_m2,CFS_framing_A1_A5_carbon_kgCO2e,CFS_framing_A1_A5_carbon_normalized
0.667,0.667,2,2,2.666,14.999,0.8,0.75,18184.562106247173,5307.443992920713,88.12892465694036,0.9917694949372594,0.9889412054932352,0.9383381881023177,0.9917694949372594,0.9889412054932352,0.9383381881023177,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.616395677363194,0.7544035087719299,53.996703627159,5307.443992920713,0.9889412054932352
0.667,0.667,2,2,2.666,14.999,0.8,0.8,18331.066535251375,5282.66530083882,88.02473845475262,0.9997597133824785,0.9843241676779143,0.9372288827004118,0.9997597133824785,0.9843241676779143,0.9372288827004118,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.567002237363205,0.7544035087719299,53.7446109636473,5282.66530083882,0.9843241676779143
0.667,0.667,2,2,2.666,14.999,0.9,0.75,18117.799436471738,5296.666748366792,88.65925985694034,0.9881283195876974,0.9869330710248797,0.9439848446636228,0.9881283195876974,0.9869330710248797,0.9439848446636228,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.550537757363195,0.7544035087719299,53.8870584418548,5296.666748366792,0.9869330710248797
0.667,0.667,2,2,2.666,14.999,0.9,0.8,18263.80400788779,5271.892267442826,88.55507365475262,0.9960912762542251,0.9823168178787145,0.942875539261717,0.9960912762542251,0.9823168178787145,0.942875539261717,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.5011443173632,0.7544035087719299,53.635008621686666,5271.892267442826,0.9823168178787145
0.667,0.667,2,2,2.666,14.999,0.9,0.85,19258.644365516993,5252.953952297123,92.57811629622397,1.0503489654558893,0.9787880231829656,0.9857102221714591,1.0503489654558893,0.9787880231829656,0.9857102221714591,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.4517508773632,0.7544035087719299,53.44233459790342,5252.953952297123,0.9787880231829656
0.667,0.667,2,2,2.666,14.999,0.9,0.9,21263.51492002972,5238.976208308291,101.204452949712,1.1596927838907902,0.9761835365395212,1.0775577187442784,1.1596927838907902,0.9761835365395212,1.0775577187442784,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.4023574373632,0.7544035087719299,53.30012827400287,5238.976208308291,0.9761835365395212
0.667,0.667,2,2,2.666,14.999,1.0,0.7,18043.85628766075,5314.004718647908,90.91641704377629,0.9840955274356582,0.9901636719042264,0.9680175534842786,0.9840955274356582,0.9901636719042264,0.9680175534842786,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.514315901363204,0.7544035087719299,54.06345092833504,5314.004718647908,0.9901636719042264
0.667,0.667,2,2,2.666,14.999,1.0,0.75,18055.0632203395,5285.889503812868,89.18959505694036,0.984706743361434,0.9849249365565237,0.9496315012249281,0.984706743361434,0.9849249365565237,0.9496315012249281,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.484679837363196,0.7544035087719299,53.77741325655056,5285.889503812868,0.9849249365565237
0.667,0.667,2,2,2.666,14.999,1.0,0.8,18200.561848895595,5261.119234046832,89.08540885475261,0.9926421063640751,0.9803094680795148,0.9485221958230221,0.9926421063640751,0.9803094680795148,0.9485221958230221,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.4352863973632,0.7544035087719299,53.52540627972604,5261.119234046832,0.9803094680795148
0.667,0.667,2,2,2.666,14.999,1.0,0.85,19193.279159026974,5242.183926715322,93.10845149622396,1.0467840064841907,0.9767812338327123,0.9913568787327641,1.0467840064841907,0.9767812338327123,0.9913568787327641,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.3858929573632,0.7544035087719299,53.33276285674645,5242.183926715322,0.9767812338327123
0.667,0.667,2,2,2.666,14.999,1.0,0.9,21194.05458721521,5228.2082719638465,101.73478814971202,1.1559044804501506,0.9741771364788983,1.0832043753055836,1.1559044804501506,0.9741771364788983,1.0832043753055836,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.33649951736321,0.7544035087719299,53.190577788261976,5228.2082719638465,0.9741771364788983
0.833,0.667,3,2,2.334,14.999,0.8,0.75,18260.58564304095,5323.203970044066,88.12295550340285,0.9959157495596573,0.9918777773714695,0.9382746325246605,0.9959157495596573,0.9918777773714695,0.9382746325246605,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,32.72571982456319,0.7544035087719299,54.15704197741491,5323.203970044066,0.9918777773714695
