Solution_ID,OC_original,OC_fixed,Cost_abs_fixed,Carbon_abs_fixed,Time_abs_fixed,Cost_norm_fixed,Carbon_norm_fixed,Time_norm_fixed,Dominates_S2_fixed
P1,1.0,1.0,18040.503852867107,5309.091944431956,90.44663911402591,0.9839126886880064,0.9892482699024493,0.9630156704688172,True
P2,1.0,1.0,18040.503852867107,5309.091944431956,90.44663911402591,0.9839126886880064,0.9892482699024493,0.9630156704688172,True
P3,1.0,1.0,18040.503852867107,5309.091944431956,90.44663911402591,0.9839126886880064,0.9892482699024493,0.9630156704688172,True
P4,1.0,1.0,18040.503852867107,5309.091944431956,90.44663911402591,0.9839126886880064,0.9892482699024493,0.9630156704688172,True
P5,1.0,1.0,18040.503852867107,5309.091944431956,90.44663911402591,0.9839126886880064,0.9892482699024493,0.9630156704688172,True
P6,1.0,1.0,18040.503852867107,5309.091944431956,90.44663911402591,0.9839126886880064,0.9892482699024493,0.9630156704688172,True
P7,1.0,1.0,18040.503938532536,5309.09205675405,90.44641388949375,0.9839126933601211,0.9892482908315343,0.9630132724277627,True
P8,1.0,1.0,18040.503938532536,5309.09205675405,90.44641388949375,0.9839126933601211,0.9892482908315343,0.9630132724277627,True
P9,1.0,1.0,18040.504783777636,5308.987393717519,90.437022399483,0.9839127394590209,0.989228788866058,0.9629132780870332,True
P10,1.0,1.0,18040.52513084174,5308.621291955123,90.4074486598149,0.9839138491694098,0.9891605727683055,0.9625983965722116,True
P11,1.0,1.0,18040.52513084174,5308.621291955123,90.4074486598149,0.9839138491694098,0.9891605727683055,0.9625983965722116,True
P12,1.0,1.0,18040.532885047633,5308.517335087552,90.39840354163891,0.9839142720767539,0.9891412023839788,0.9625020901684574,True
P13,1.0,1.0,18040.527801640274,5308.4195814276845,90.38799440611483,0.9839139948323352,0.9891229878493819,0.962391260614989,True
P14,1.0,1.0,18040.53396098075,5308.416673273075,90.38584072502084,0.9839143307571685,0.9891224459701026,0.9623683296507982,True
P15,1.0,1.0,18040.547299609025,5308.156136649941,90.36689715205718,0.9839150582338353,0.9890738999275065,0.962166631082478,True
P16,1.0,1.0,18040.54754835034,5308.15628005277,90.36667292517019,0.9839150717999605,0.9890739266478952,0.9621642436636858,True
P17,1.0,1.0,18040.547299609025,5308.156136649941,90.36689715205718,0.9839150582338353,0.9890738999275065,0.962166631082478,True
P18,1.0,1.0,18040.571589500432,5308.157348908203,90.36228603940538,0.983916382982443,0.9890741258087684,0.9621175350211375,True
P19,1.0,1.0,18040.581156448403,5307.847325927627,90.3423287281023,0.9839169047550929,0.9890163589250198,0.9619050428410681,True
P20,1.0,1.0,18040.581156448403,5307.847325927627,90.3423287281023,0.9839169047550929,0.9890163589250198,0.9619050428410681,True
P21,1.0,1.0,18040.59106685901,5307.794688042439,90.33717811504647,0.983917445259883,0.9890065508566347,0.9618502025381683,True
P22,1.0,1.0,18040.614146717435,5307.7422221607185,90.33078691525814,0.9839187040143912,0.9889967748378232,0.9617821532926735,True
P23,1.0,1.0,18040.614460680972,5307.741927996245,90.33168968781222,0.9839187211376773,0.9889967200258706,0.9617917654145274,True
P24,1.0,1.0,18040.614460680972,5307.741927996245,90.33168968781222,0.9839187211376773,0.9889967200258706,0.9617917654145274,True
P25,1.0,1.0,18040.61149760476,5307.6907568956185,90.32866830740296,0.9839185595341929,0.9889871852648806,0.9617595957650074,True
P26,1.0,1.0,18040.623109512406,5307.69507291127,90.32399237210396,0.9839191928370854,0.9889879894722781,0.9617098095152236,True
P27,1.0,1.0,18040.638172110597,5307.591087747912,90.31583294968264,0.9839200143375051,0.98896861381557,0.9616229334109186,True
P28,1.0,1.0,18040.641240642697,5307.536887824322,90.31395908210445,0.9839201816924578,0.9889585146910489,0.9616029817149809,True
P29,1.0,1.0,18040.64103915533,5307.594574246962,90.31543264628809,0.9839201707035198,0.9889692634583318,0.9616186712465565,True
P30,1.0,1.0,18040.658367047385,5307.434066190127,90.30604880100596,0.9839211157510085,0.9889393558358623,0.961518758301814,True
P31,1.0,1.0,18040.650528482656,5307.4349724919475,90.3073194086782,0.9839206882428102,0.9889395247079628,0.9615322868874129,True
P32,1.0,1.0,18040.672239800846,5307.331858132585,90.29968962968545,0.9839218723583776,0.9889203113090107,0.961451050074147,True
P33,1.0,1.0,18040.679632739033,5307.331227009228,90.29833719059427,0.9839222755625091,0.9889201937111813,0.9614366502020134,True
P34,1.0,1.0,18040.680904193858,5307.282310794806,90.29378289841091,0.9839223449065001,0.9889110791053327,0.961388159127238,True
P35,1.0,1.0,18040.68188293006,5307.28108310131,90.2965699537794,0.9839223982858833,0.9889108503480086,0.9614178338395392,True
P36,1.0,1.0,18040.683063912318,5307.281153371632,90.29702601169856,0.9839224626955826,0.9889108634415461,0.9614226896410051,True
P37,1.0,1.0,18040.711624780994,5307.128979771492,90.28223812541398,0.98392402037941,0.9888825087865054,0.9612652380611049,True
P38,1.0,1.0,18040.713131094628,5307.129646658466,90.2813446393376,0.9839241025323869,0.9888826330482046,0.9612557248154904,True
P39,1.0,1.0,18040.725058646964,5307.179186809067,90.28209770894509,0.9839247530502541,0.9888918639126886,0.9612637429999146,True
P40,1.0,1.0,18040.747864686316,5307.024950097121,90.27157559373889,0.9839259968709191,0.988863124836017,0.9611517105139172,True
P41,1.0,1.0,18040.796759780536,5306.880201266733,90.25615918675473,0.9839286635649321,0.9888361536455514,0.960987566863545,True
P42,1.0,1.0,18040.79724550705,5306.880019081308,90.25601626568042,0.9839286900560148,0.988836119698764,0.9609860451349816,True
P43,1.0,1.0,18040.793211106306,5306.820770042481,90.25690400531461,0.9839284700234638,0.988825079767686,0.9609954971963008,True
P44,1.0,1.0,18040.79197029461,5306.820905788482,90.25763871007204,0.9839284023507213,0.9888251050613706,0.9610033198440134,True
P45,1.0,1.0,18040.79109538149,5306.821157178571,90.25650904651287,0.9839283546337547,0.9888251519031306,0.9609912919376092,True
P46,1.0,1.0,18040.814856018835,5306.720058061536,90.24889460406021,0.9839296505173268,0.988806314006243,0.9609102184176241,True
P47,1.0,1.0,18040.853366956213,5306.61815041062,90.2378414949796,0.9839317508688608,0.9887873254544504,0.9607925322619384,True
P48,1.0,1.0,18040.861557562705,5306.567532947327,90.23499153458918,0.9839321975770968,0.9887778938532437,0.9607621877787926,True
P49,1.0,1.0,18040.87070244105,5306.519155908302,90.2329420058631,0.9839326963304529,0.9887688797124717,0.9607403657597586,True
P50,1.0,1.0,18040.909811148947,5306.6216460976175,90.23390176787852,0.9839348292838478,0.9887879768092113,0.9607505846675017,True
P51,1.0,1.0,18040.909811148947,5306.6216460976175,90.23390176787852,0.9839348292838478,0.9887879768092113,0.9607505846675017,True
P52,1.0,1.0,18040.903104976893,5306.417057122948,90.22366919370556,0.9839344635353171,0.9887498555464131,0.960641635021895,True
